task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9c/ccb68a	1151456	build_msa	COMPLETED	0	2024-10-30 17:44:12.166	4.5s	4.4s	264.4%	580.4 MB	6.7 GB	52.6 MB	1.2 MB
2	eb/83c286	1151918	build_msa_fragparent	COMPLETED	0	2024-10-30 17:44:16.664	55.7s	55.6s	20.9%	577.9 MB	6.7 GB	53.8 MB	2.8 MB
3	8d/d40645	1153136	process_msa	COMPLETED	0	2024-10-30 17:45:12.415	536ms	463ms	2455.2%	24.1 MB	2.5 GB	261.2 MB	182.2 MB
74	f5/21e564	1153688	colabfold (71)	COMPLETED	0	2024-10-30 17:45:13.077	28m 18s	28m 18s	107.4%	9.1 GB	245.3 GB	2.2 GB	39.7 MB
68	f9/e8566c	1153561	colabfold (65)	COMPLETED	0	2024-10-30 17:45:13.053	28m 46s	28m 46s	107.2%	9 GB	245.3 GB	2.2 GB	38.8 MB
4	6f/d2aded	1153626	colabfold (1)	COMPLETED	0	2024-10-30 17:45:13.068	29m 38s	29m 38s	107.0%	9 GB	245.1 GB	2.2 GB	38.7 MB
16	4e/bfa289	1154084	colabfold (13)	COMPLETED	0	2024-10-30 17:45:13.122	29m 50s	29m 50s	107.1%	9.3 GB	245.2 GB	2.2 GB	39.8 MB
9	99/591b83	1154205	colabfold (6)	COMPLETED	0	2024-10-30 17:45:13.132	29m 53s	29m 53s	107.1%	9.1 GB	245.4 GB	2.2 GB	39.7 MB
5	f9/cebf91	1153499	colabfold (2)	COMPLETED	0	2024-10-30 17:45:13.039	30m 7s	30m 6s	106.5%	9.1 GB	245 GB	2.2 GB	37.4 MB
7	28/1376ea	1153420	colabfold (4)	COMPLETED	0	2024-10-30 17:45:13.008	30m 8s	30m 8s	107.0%	9.1 GB	245.3 GB	2.2 GB	38.9 MB
8	53/fec365	1154384	colabfold (5)	COMPLETED	0	2024-10-30 17:45:13.146	30m 11s	30m 11s	106.6%	8.9 GB	245 GB	2.2 GB	37.4 MB
11	da/ff53f5	1153527	colabfold (8)	COMPLETED	0	2024-10-30 17:45:13.046	30m 49s	30m 49s	106.4%	9.1 GB	244.9 GB	2.2 GB	37.8 MB
41	13/23d81a	1154704	colabfold (38)	COMPLETED	0	2024-10-30 17:45:13.169	30m 51s	30m 51s	106.4%	9 GB	245.3 GB	2.2 GB	37.6 MB
13	6b/37ce2b	1154007	colabfold (10)	COMPLETED	0	2024-10-30 17:45:13.113	31m 16s	31m 15s	106.8%	9.1 GB	245.2 GB	2.2 GB	39.8 MB
12	ed/02c277	1153482	colabfold (9)	COMPLETED	0	2024-10-30 17:45:13.033	31m 19s	31m 19s	106.7%	9.1 GB	245.4 GB	2.2 GB	39.1 MB
37	47/9dce86	1153747	colabfold (34)	COMPLETED	0	2024-10-30 17:45:13.083	31m 32s	31m 31s	106.4%	9 GB	245 GB	2.2 GB	38 MB
14	fe/1329cb	1153593	colabfold (11)	COMPLETED	0	2024-10-30 17:45:13.062	31m 45s	31m 45s	106.2%	9.1 GB	245.2 GB	2.2 GB	37.8 MB
34	8e/fad4fe	1154605	colabfold (31)	COMPLETED	0	2024-10-30 17:45:13.161	31m 52s	31m 52s	106.7%	9.3 GB	245.4 GB	2.2 GB	40 MB
17	02/d5d7e7	1154487	colabfold (14)	COMPLETED	0	2024-10-30 17:45:13.153	32m 7s	32m 7s	106.5%	9.1 GB	245.1 GB	2.2 GB	39.2 MB
22	20/e506ca	1153446	colabfold (19)	COMPLETED	0	2024-10-30 17:45:13.018	32m 13s	32m 13s	106.1%	9 GB	245.1 GB	2.2 GB	37.8 MB
18	f0/6e83ca	1153844	colabfold (15)	COMPLETED	0	2024-10-30 17:45:13.092	32m 13s	32m 13s	106.2%	9.1 GB	244.9 GB	2.2 GB	37.7 MB
15	0b/7e27fa	1153434	colabfold (12)	ABORTED	-	2024-10-30 17:45:13.014	-	-	-	-	-	-	-
6	5f/d99a3a	1153467	colabfold (3)	ABORTED	-	2024-10-30 17:45:13.027	-	-	-	-	-	-	-
24	aa/177aab	1382972	colabfold (21)	ABORTED	-	2024-10-30 18:13:31.395	-	-	-	-	-	-	-
10	a3/1a081e	1386405	colabfold (7)	ABORTED	-	2024-10-30 18:13:58.885	-	-	-	-	-	-	-
25	87/57dd4e	1391202	colabfold (22)	ABORTED	-	2024-10-30 18:14:50.908	-	-	-	-	-	-	-
21	f5/b0e2b8	1393622	colabfold (18)	ABORTED	-	2024-10-30 18:15:02.811	-	-	-	-	-	-	-
39	2c/c03652	1394680	colabfold (36)	ABORTED	-	2024-10-30 18:15:06.193	-	-	-	-	-	-	-
20	8d/48c592	1398259	colabfold (17)	ABORTED	-	2024-10-30 18:15:19.631	-	-	-	-	-	-	-
32	63/5eda45	1399351	colabfold (29)	ABORTED	-	2024-10-30 18:15:21.326	-	-	-	-	-	-	-
33	02/b7a794	1400890	colabfold (30)	ABORTED	-	2024-10-30 18:15:24.069	-	-	-	-	-	-	-
27	f1/0d7534	1411081	colabfold (24)	ABORTED	-	2024-10-30 18:16:02.355	-	-	-	-	-	-	-
19	7f/2907d8	1411778	colabfold (16)	ABORTED	-	2024-10-30 18:16:04.231	-	-	-	-	-	-	-
23	b7/e55e91	1418441	colabfold (20)	ABORTED	-	2024-10-30 18:16:28.657	-	-	-	-	-	-	-
44	83/584785	1419539	colabfold (41)	ABORTED	-	2024-10-30 18:16:31.765	-	-	-	-	-	-	-
28	59/e80860	1423340	colabfold (25)	ABORTED	-	2024-10-30 18:16:44.637	-	-	-	-	-	-	-
64	9a/723618	1428558	colabfold (61)	ABORTED	-	2024-10-30 18:16:58.425	-	-	-	-	-	-	-
97	73/e780e3	1431275	colabfold (94)	ABORTED	-	2024-10-30 18:17:05.152	-	-	-	-	-	-	-
57	ed/01f43f	1436225	colabfold (54)	ABORTED	-	2024-10-30 18:17:19.834	-	-	-	-	-	-	-
48	52/5c9aed	1438796	colabfold (45)	ABORTED	-	2024-10-30 18:17:25.877	-	-	-	-	-	-	-
61	28/049feb	1439018	colabfold (58)	ABORTED	-	2024-10-30 18:17:26.056	-	-	-	-	-	-	-
